	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
CPD-19542	1.115142822265625	-365.591064453125	996.10513056
CPD-19543	-1.9206657409667969	-489.8223571777344	100.286153744
CPD-19547	0.29888075590133667	-398.9941101074219	383.036179296
CPD-19556	7.746523857116699	-94.22183227539062	113.651510792
CPD-19557	-1.249696969985962	-462.364990234375	34.458516072
CPD-19558	7.216940879821777	-115.8934326171875	600.046268
CPD-19560	1.692906141281128	-341.9478454589844	912.60985416
CPD-19573	-0.5963998436927795	-435.6307678222656	373.798961664
CPD-19574	-0.6846722364425659	-439.2430419921875	218.74922688
CPD-19595	2.333042621612549	-315.752197265625	642.72331904
CPD-19596	2.3428988456726074	-315.348876953125	642.72331904
CPD-19606	-0.9351504445075989	-449.4931335449219	-380.89257384
CPD-19607	3.0742745399475098	-285.4195251464844	180.823450928
CPD-19608	-0.3893451690673828	-427.1576843261719	175.970810072
CPD-19609	-4.831281661987305	-608.9305419921875	-539.08421648
CPD-19624	-0.36411726474761963	-426.12530517578125	275.58204696
CPD-19626	-0.3684900999069214	-426.30426025390625	275.58204696
CPD-19627	-0.45411908626556396	-429.808349609375	375.88194096
CPD-19628	0.2712382972240448	-400.12530517578125	182.85519296
CPD-19635	-0.41520828008651733	-428.216064453125	313.443314
CPD-19642	-0.11780118942260742	-416.0455627441406	112.596452432
CPD-19692	-4.68492317199707	-602.9412231445312	-659.94662952
CPD-19703	4.392928123474121	-231.45761108398438	290.89046616
CPD-19704	2.6845808029174805	-301.3665466308594	485.33969048
CPD-19706	-2.155651092529297	-499.43841552734375	132.527120528
CPD-19749	-1.074159860610962	-455.1816711425781	-80.852553216
CPD-19751	1.4434535503387451	-352.15594482421875	195.9183104
CPD-19752	-1.554833173751831	-474.8517761230469	-163.194434704
CPD-19753	-5.53499698638916	-637.7279052734375	-668.46722
CPD-19754	-4.815165042877197	-608.27099609375	-424.12162
CPD-19755	-1.9240846633911133	-489.9622802734375	-1.3338470664
CPD-19757	-2.0198047161102295	-493.87933349609375	26.666506432
CPD-19824	-1.6415951251983643	-478.4022216796875	-166.118515152
CPD-19826	-1.717076063156128	-481.4910583496094	-0.40871429104
CPD-19827	-0.6598021388053894	-438.2253112792969	43.835399808
CPD-19828	-2.930807113647461	-531.1593627929688	-190.013539984
CPD-19829	-4.736931324005127	-605.0695190429688	-408.032315776
CPD-19841	-2.8823506832122803	-529.1763916015625	-307.393442464
CPD-19842	-2.9101758003234863	-530.3150634765625	-230.900558672
CPD-19847	-2.188065528869629	-500.764892578125	212.120151672
CPD-19875	0.9212066531181335	-373.5273132324219	21.748565888
CPD-19876	-2.874340057373047	-528.8485717773438	-519.79606016
CPD-19877	-2.874340057373047	-528.8485717773438	-519.79606016
CPD-19882	-2.882402181625366	-529.1785278320312	-561.89638864
CPD-19883	-2.882402181625366	-529.1785278320312	-561.89638864
CPD-19884	-2.9308979511260986	-531.1630859375	-572.1889868
CPD-19915	-2.078040838241577	-496.262451171875	123.377507488
CPD-19916	-3.946187734603882	-572.710693359375	-376.96869312
CPD-19917	-4.942258358001709	-613.471923828125	-541.60909312
CPD-19956	-0.37983620166778564	-426.7685546875	283.15504512
CPD-19958	0.8885025978088379	-374.8656311035156	97.701437536
CPD-19960	-0.38426536321640015	-426.9497985839844	375.88194096
CPD-19991	-0.10058441758155823	-415.3410339355469	373.9709408
CPD-20007	1.5460772514343262	-347.95635986328125	159.094436872
CPD-20009	8.02435302734375	-82.85250854492188	-95.63686784
CPD-20018	0.30527305603027344	-398.7325439453125	467.88722232
CPD-20022	-1.8652284145355225	-487.5537414550781	-239.17116352
CPD-20027	-1.3147225379943848	-465.0259704589844	384.41332616
CPD-20028	-1.349123477935791	-466.4337158203125	384.41332616
CPD-20029	1.4721622467041016	-350.98114013671875	412.0714908
CPD-20033	-1.168609380722046	-459.0467224121094	291.64825132
CPD-20034	-0.5876424312591553	-435.27239990234375	631.90044072
CPD-20037	1.5705149173736572	-346.9563293457031	661.58855664
CPD-20046	-2.874340057373047	-528.8485717773438	-519.79606016
CPD-20050	-1.3577239513397217	-466.7856750488281	103.261504928
CPD-20063	-0.41840559244155884	-428.3468933105469	313.443314
CPD-20065	-1.175255298614502	-459.3186950683594	247.010753608
CPD-20100	-3.006483793258667	-534.2561645507812	-141.84193044
CPD-20101	-1.5472240447998047	-474.5403747558594	28.9536674384
CPD-20103	-2.991450309753418	-533.6409912109375	135.79061124
CPD-20104	-3.044455051422119	-535.81005859375	128.18512432
CPD-20115	4.042046070098877	-245.81639099121094	-108.760552864
CPD-20118	-1.2947404384613037	-464.208251953125	284.113474
CPD-20120	-1.2612407207489014	-462.8373718261719	-32.964890832
CPD-20126	-1.3443539142608643	-466.238525390625	114.279449696
CPD-20127	-1.306504726409912	-464.6896667480469	21.5526279128
CPD-20128	-1.306504726409912	-464.6896667480469	21.5526279128
CPD-20129	-1.255969762802124	-462.6216735839844	-125.69169044
CPD-20130	-1.255969762802124	-462.6216735839844	-125.69169044
CPD-2022	-2.715087413787842	-522.3316650390625	-44.628087896
CPD-20275	-4.400692462921143	-591.3099365234375	-363.700660096
CPD-20277	-1.5346474647521973	-474.0257263183594	300.4396512
CPD-20278	0.4652124047279358	-392.1875	127.98964784
CPD-20281	-2.463167190551758	-512.0225830078125	-7.9305171944
CPD-20282	-0.32656461000442505	-424.5885925292969	220.71650184
CPD-20308	2.62365984916687	-303.85955810546875	139.187973216
CPD-20312	-0.20255199074745178	-419.51373291015625	242.7188608
CPD-20329	-2.4162256717681885	-510.1016540527344	-300.80068856
CPD-20330	-2.4511027336120605	-511.52886962890625	-215.64695824
CPD-20331	-1.5097038745880127	-473.0049743652344	-149.214385296
CPD-20338	-1.6903698444366455	-480.398193359375	28.666207392
CPD-20341	-2.090121269226074	-496.7568054199219	111.82024512
CPD-20342	-2.8833167552948	-529.2159423828125	-217.6466592
CPD-20343	-2.1735007762908936	-500.16888427734375	204.547124224
CPD-20348	-2.0508360862731934	-495.149169921875	19.0934484408
CPD-20349	-2.1550276279449463	-499.41290283203125	207.75938604
CPD-20350	-2.259659767150879	-503.6946716308594	289.70095496
CPD-20353	-5.5736470222473145	-639.3095703125	-630.63264688
CPD-20354	-4.656755447387695	-601.78857421875	-324.53304784
CPD-20361	-2.8068904876708984	-526.0884399414062	-203.225097376
CPD-20366	-1.1603569984436035	-458.7090148925781	312.86148696
CPD-20367	-1.112525463104248	-456.75164794921875	390.484075856
CPD-20368	-1.1203205585479736	-457.0706481933594	200.0420608
CPD-20374	-2.2764623165130615	-504.38226318359375	289.70095496
CPD-20377	-2.229022264480591	-502.44091796875	204.547124224
CPD-20378	-3.121159553527832	-538.9489135742188	138.11461404
CPD-20380	-2.269026517868042	-504.0779724121094	289.70095496
CPD-20387	-3.0856242179870605	-537.4947509765625	138.11461404
CPD-20409	-2.012110948562622	-493.5644836425781	100.900017672
CPD-2041	-0.6845876574516296	-439.2395935058594	203.57067904
CPD-20411	-2.8169002532958984	-526.498046875	-234.939825744
CPD-20412	2.611264944076538	-304.3667907714844	320.625719024
CPD-20485	-2.587670087814331	-517.1174926757812	104.479513352
CPD-20486	-3.0649573802948	-536.6490478515625	-39.780145672
CPD-205	-2.126391887664795	-498.2410888671875	-236.969387912
CPD-20501	4.449114799499512	-229.15834045410156	-83.442670968
CPD-20544	1.629002571105957	-344.5628967285156	-76.460077048
CPD-20688	-0.20159396529197693	-419.47454833984375	-116.323434112
CPD-20689	2.0354995727539062	-327.9282531738281	50.441391888
CPD-20751	-2.841299295425415	-527.4965209960938	-108.05832704
CPD-20754	-2.8633439540863037	-528.3986206054688	-113.581152648
CPD-20758	-3.7037954330444336	-562.7915649414062	-195.7589
CPD-20768	0.21625031530857086	-402.3755187988281	354.794179296
CPD-20772	-3.302180528640747	-546.356689453125	-93.44206696
CPD-20799	-0.6007511615753174	-435.808837890625	198.498658512
CPD-20806	-3.7918243408203125	-566.3938598632812	-613.89417832
CPD-20857	-1.8519446849822998	-487.0101623535156	-44.27496248
CPD-20866	-0.5600256323814392	-434.14227294921875	-125.896191808
CPD-20867	1.2248985767364502	-361.0996398925781	-0.00905513832
CPD-20893	-3.276289701461792	-545.2971801757812	-532.8926496
CPD-20923	-2.1362507343292236	-498.64453125	215.642071328
CPD-20924	-2.1320767402648926	-498.47369384765625	225.34894296
CPD-20935	-2.6355905532836914	-519.0784912109375	-503.05807276
CPD-20936	-3.3188467025756836	-547.0386962890625	-796.23691496
CPD-20937	-2.0416014194488525	-494.77130126953125	-244.5424572
CPD-20942	-1.0438435077667236	-453.9410400390625	-406.92107048
CPD-20943	-1.592435598373413	-476.3905334472656	-59.802301112
CPD-20946	-3.846245527267456	-568.6209106445312	-560.78980432
CPD-20947	-2.8769047260284424	-528.9535522460938	-281.10856704
CPD-20948	-2.8769047260284424	-528.9535522460938	-281.10856704
CPD-20949	-5.614116191864014	-640.9656372070312	-926.794702
CPD-20950	1.6951429843902588	-341.8563232421875	318.1099384
CPD-20954	0.10727446526288986	-406.83502197265625	553.97678792
CPD-20955	-0.8343805074691772	-445.3694152832031	394.81742792
CPD-20957	0.09687234461307526	-407.2607116699219	560.00174792
CPD-20958	0.4783286154270172	-391.6507568359375	573.93835904
CPD-20959	0.2673662304878235	-400.28375244140625	488.49170688
CPD-20967	0.27135220170021057	-400.1206359863281	393.50559748
CPD-20968	0.24456541240215302	-401.2168273925781	393.50559748
CPD-20978	-1.178783893585205	-459.46307373046875	33.3003246224
CPD-20998	1.8831136226654053	-334.1641845703125	425.53660696
CPD-21001	-0.1726493537425995	-418.2900695800781	376.1001784
CPD-21004	-1.8542840480804443	-487.10589599609375	-162.18949648
CPD-21050	-3.3067808151245117	-546.544921875	-373.82090256
CPD-21054	-2.096013307571411	-496.9979248046875	-186.200945296
CPD-21056	-1.956786870956421	-491.3005065917969	207.26632256
CPD-21057	-1.95082688331604	-491.0566101074219	242.54685656
CPD-21058	-2.2877161502838135	-504.8427734375	279.11501656
CPD-21060	-1.91339111328125	-489.524658203125	316.1852984
CPD-21061	-2.0378777980804443	-494.618896484375	199.744549112
CPD-21062	-1.944059133529663	-490.7796630859375	-9.8047864368
CPD-21063	-1.997579574584961	-492.9698181152344	-147.091210312
CPD-21067	-2.000549793243408	-493.09136962890625	69.979914584
CPD-21068	0.7678400874137878	-379.8033752441406	401.54894
CPD-21072	-1.2185814380645752	-461.0916748046875	55.615845104
CPD-21073	-0.1759931743144989	-418.4269104003906	219.493736208
CPD-21076	-0.1759931743144989	-418.4269104003906	219.493736208
CPD-21077	-0.24084621667861938	-421.080810546875	225.97892784
CPD-21087	-1.2168383598327637	-461.0203552246094	61.557104184
CPD-21088	-1.2008492946624756	-460.36602783203125	154.283928896
CPD-21089	-1.1805331707000732	-459.53466796875	247.010753608
CPD-21090	-1.2253196239471436	-461.367431640625	161.856960528
CPD-21091	-0.33496034145355225	-424.9321594238281	411.43261492
CPD-21092	-0.33496034145355225	-424.9321594238281	411.43261492
CPD-21093	-1.1906156539916992	-459.947265625	148.34261124
CPD-21094	-1.1709353923797607	-459.14190673828125	241.069498712
CPD-21101	-1.1930575370788574	-460.04718017578125	262.156862896
CPD-21102	-1.2561454772949219	-462.6288757324219	169.42999216
CPD-21105	-0.4577183723449707	-429.9556579589844	406.17012616
CPD-21175	-0.7598845362663269	-442.3208923339844	185.22555448
CPD-21183	1.976048469543457	-330.361083984375	94.4610174
CPD-21221	1.9226691722869873	-332.54547119140625	90.695409032
CPD-21225	-3.214576244354248	-542.771728515625	-430.24243544
CPD-21238	-2.1904561519622803	-500.86273193359375	225.690746472
CPD-21242	1.9309840202331543	-332.2052307128906	454.2294748
CPD-216	-0.909259021282196	-448.43359375	259.12482688
CPD-217	-1.156029224395752	-458.53192138671875	198.95966
CPD-219	-1.2679812908172607	-463.11322021484375	291.68649308
CPD-220	-2.191903591156006	-500.92193603515625	334.23775216
CPD-2205	-0.6097300052642822	-436.17626953125	240.49671748
CPD-2222	-2.022081136703491	-493.97247314453125	-140.799809008
CPD-225	-3.596722364425659	-558.409912109375	-812.84739496
CPD-227	-2.9342217445373535	-531.299072265625	-323.6273792
CPD-2301	-1.388502597808838	-468.0451965332031	-168.2570496
CPD-231	-2.0173556804656982	-493.77911376953125	-331.09757648
CPD-232	-1.706686019897461	-481.0658874511719	93.940498512
CPD-233	-1.1956355571746826	-460.1526794433594	291.68649308
CPD-234	-2.8519325256347656	-527.931640625	-541.37880576
CPD-238	0.27680736780166626	-399.89739990234375	355.64037656
CPD-240	-3.5572586059570312	-556.7949829101562	-739.16711312
CPD-242	-1.0585675239562988	-454.5435791015625	18.6563108152
CPD-2421	1.8609504699707031	-335.0711364746094	-61.518510968
CPD-243	-0.5705726742744446	-434.5738830566406	111.70794656
CPD-244	1.8284175395965576	-336.4024658203125	17.0616838152
CPD-245	-3.525960683822632	-555.5142211914062	-739.16711312
CPD-246	-2.844163656234741	-527.6137084960938	-529.83565184
CPD-2461	-2.002699851989746	-493.1793518066406	-429.99599784
CPD-2462	-1.974109172821045	-492.0093688964844	-289.28811968
CPD-247	-3.659520149230957	-560.979736328125	-630.67005184
CPD-248	-0.4903962016105652	-431.29290771484375	164.715059296
CPD-2482	1.4220213890075684	-353.0329895019531	-6.1262960616
CPD-2483	1.4220213890075684	-353.0329895019531	-6.1262960616
CPD-252	-4.182008743286133	-582.3609619140625	-360.53892008
CPD-253	-4.162628650665283	-581.5679321289062	-360.53892008
CPD-254	-1.9615626335144043	-491.4959411621094	-193.774771888
CPD-2542	-3.700592279434204	-562.6604614257812	-756.94317184
CPD-255	2.5335514545440674	-307.5469665527344	42.044865376
CPD-258	-1.3218603134155273	-465.31805419921875	-100.447706352
CPD-259	1.4770269393920898	-350.78204345703125	276.38600256
CPD-265	-1.6739842891693115	-479.7276611328125	146.46376512
CPD-267	-2.0647058486938477	-495.7167663574219	-53.893503596
CPD-2748	0.6986075043678284	-382.6365051269531	738.40282184
CPD-2749	-0.29310736060142517	-423.2194519042969	437.56778264
CPD-277	-3.642927646636963	-560.3007202148438	-655.14645184
CPD-28	0.4325031042098999	-393.5260314941406	38.181514584
CPD-280	-0.2403995394706726	-421.0625305175781	-155.034864848
CPD-282	2.4273173809051514	-311.894287109375	322.079993744
CPD-283	-1.4827733039855957	-471.9029235839844	-195.54066256
CPD-2841	6.775421142578125	-133.96127319335938	-1.3056565296
CPD-285	-4.770709991455078	-606.4517822265625	-778.8451148
CPD-288	0.7929407358169556	-378.7762145996094	178.61062956
CPD-289	0.7929407358169556	-378.7762145996094	178.61062956
CPD-290	-2.027918577194214	-494.21136474609375	-203.611109032
CPD-291	-2.907991647720337	-530.2257080078125	-438.22914752
CPD-294	-2.8280861377716064	-526.955810546875	-546.61345
CPD-298	1.098953127861023	-366.2535705566406	54.685239824
CPD-299	-1.6494481563568115	-478.7236022949219	-93.135450888
CPD-30	-0.6181730031967163	-436.52178955078125	215.862279432
CPD-301	-4.785139083862305	-607.042236328125	-692.05949896
CPD-302	-1.7944042682647705	-484.6554870605469	-436.95742072
CPD-303	2.2432479858398438	-319.4267578125	660.96162608
CPD-304	-1.3109557628631592	-464.871826171875	413.40844616
CPD-306	-3.1310441493988037	-539.3534545898438	131.252858224
CPD-307	-3.0425772666931152	-535.7332153320312	46.0989982
CPD-309	-3.9179041385650635	-571.5532836914062	173.804129856
CPD-31	-3.0188186168670654	-534.7609252929688	-595.09667968
CPD-310	-2.6237435340881348	-518.5936889648438	-230.08175824
CPD-311	-2.550252914428711	-515.5863037109375	-222.50871824
CPD-312	-2.5370583534240723	-515.04638671875	-315.235505296
CPD-313	4.082527160644531	-244.15982055664062	478.50403864
CPD-318	-3.730947732925415	-563.9027099609375	-648.98931928
CPD-319	-3.6163623332977295	-559.213623046875	-534.6668748
CPD-3190	-1.114593744277954	-456.8363037109375	268.7433408
CPD-3193	-1.7565014362335205	-483.10443115234375	62.79824176
CPD-3194	-0.7709398865699768	-442.7733154296875	209.396283992
CPD-3195	-0.8378582000732422	-445.51171875	257.44189656
CPD-320	3.601321220397949	-263.85174560546875	-57.715782152
CPD-321	-1.2153465747833252	-460.95928955078125	-427.63651472
CPD-327	-3.7758305072784424	-565.7393798828125	-456.092835936
CPD-329	-3.722471237182617	-563.5557861328125	-531.5814886
CPD-33	-3.8338747024536133	-568.1146240234375	-501.074794
CPD-330	-3.7511279582977295	-564.728515625	-473.07990104
CPD-333	-3.0032548904418945	-534.1240234375	-488.855480576
CPD-334	-4.676165580749512	-602.5828857421875	-736.86198016
CPD-3344	0.8322970271110535	-377.1656799316406	-312.95309564
CPD-335	0.9326796531677246	-373.0578308105469	-209.050321584
CPD-336	-4.771627902984619	-606.4893798828125	-686.1182608
CPD-337	-2.958742380142212	-532.302490234375	-345.50229352
CPD-338	-1.2691411972045898	-463.1606750488281	30.41874692
CPD-343	-3.805180788040161	-566.9404296875	-587.99521832
CPD-346	2.377553939819336	-313.9306945800781	94.437913352
CPD-3462	-0.5381022691726685	-433.2451171875	879.3828692
CPD-347	3.6053061485290527	-263.68865966796875	16.85721048
CPD-35	-1.5555438995361328	-474.880859375	-48.914528952
CPD-350	-2.0777640342712402	-496.2511291503906	-188.697324712
CPD-355	-2.9050793647766113	-530.1065063476562	-275.167270304
CPD-356	-2.8805558681488037	-529.1029663085938	-406.64731136
CPD-3564	0.656653881072998	-384.35333251953125	-209.050321584
CPD-3565	-3.8022704124450684	-566.8213500976562	-250.34679488
CPD-3569	-3.7819175720214844	-565.9884643554688	-343.25435584
CPD-357	-3.813730478286743	-567.290283203125	-341.59983488
CPD-3570	-3.8022704124450684	-566.8213500976562	-250.34679488
CPD-3571	-3.921464204788208	-571.698974609375	-805.13942096
CPD-3572	-2.0254368782043457	-494.10980224609375	-364.94613648
CPD-3573	0.998868465423584	-370.3492431640625	-196.285180256
CPD-358	3.5315370559692383	-266.7074279785156	-37.000291888
CPD-3582	-3.8022704124450684	-566.8213500976562	-250.34679488
CPD-360	-2.8884639739990234	-529.4265747070312	-400.12027136
CPD-3604	-4.151340484619141	-581.10595703125	-245.028453904
CPD-3607	-3.81333065032959	-567.27392578125	-397.59112704
CPD-3610	-3.787382125854492	-566.2120971679688	-250.34679488
CPD-3611	-4.719942569732666	-604.374267578125	-561.408074
CPD-3612	-3.8022704124450684	-566.8213500976562	-250.34679488
CPD-3613	-2.9246814250946045	-530.90869140625	-176.38302612
CPD-3614	-3.8561851978302	-569.0276489257812	-437.79936704
CPD-3615	-4.161979675292969	-581.5413818359375	-189.03705296
CPD-3618	-0.36103177070617676	-425.9990539550781	-158.423879744
CPD-3621	0.5573285818099976	-388.4179382324219	-154.184734624
CPD-3624	0.8581956028938293	-376.1058654785156	124.121636072
CPD-3627	4.367705345153809	-232.48977661132812	485.72635484
CPD-363	-2.9308979511260986	-531.1630859375	-572.1889868
CPD-3633	-1.8878531455993652	-488.4796142578125	-172.13406952
CPD-3642	0.13690030574798584	-405.6226806640625	110.8438878
CPD-365	-3.7577667236328125	-565.0001831054688	-463.12196012
CPD-368	-2.8805549144744873	-529.1029052734375	-406.64731136
CPD-3681	3.2355964183807373	-278.8179016113281	586.02622792
CPD-3682	5.420257091522217	-189.41726684570312	381.40521844
CPD-3684	-2.7288496494293213	-522.8948364257812	-483.61922968
CPD-3685	-0.41091078519821167	-428.0401916503906	-349.52198784
CPD-3687	-0.8607439398765564	-446.4482421875	396.59740612
CPD-369	-3.813730478286743	-567.290283203125	-341.59983488
CPD-37	-3.77854323387146	-565.850341796875	-581.88653648
CPD-370	-5.036250591278076	-617.3182373046875	-500.09837392
CPD-371	0.5505133867263794	-388.6968078613281	585.7932628
CPD-373	-3.790900707244873	-566.3560791015625	-586.22852432
CPD-374	-2.9646761417388916	-532.5453491210938	131.433326696
CPD-375	-1.477686882019043	-471.6947937011719	-33.606561624
CPD-376	-2.075730562210083	-496.16790771484375	-242.554751768
CPD-3762	-0.8986155390739441	-447.998046875	186.8018974
CPD-377	-4.691552639007568	-603.2125244140625	-694.76144248
CPD-381	-2.9692394733428955	-532.7320556640625	-581.58240152
CPD-382	-3.8298380374908447	-567.949462890625	-446.3859392
CPD-383	-1.4641807079315186	-471.14208984375	43.555841664
CPD-385	0.6553385853767395	-384.40716552734375	-10.4412540064
CPD-386	-1.3979918956756592	-468.4335021972656	-344.12387472
CPD-389	-2.0955967903137207	-496.98089599609375	-514.62660264
CPD-391	0.23405426740646362	-401.6469421386719	590.54490608
CPD-393	3.238100528717041	-278.7154541015625	514.66091144
CPD-394	1.9319629669189453	-332.1651611328125	692.9528248
CPD-395	1.5170459747314453	-349.1444091796875	363.66897048
CPD-396	-0.013589277863502502	-411.781005859375	389.480342624
CPD-400	-0.3322591483592987	-424.8216247558594	198.48465048
CPD-402	-0.49992430210113525	-431.68280029296875	157.64019144
CPD-403	-1.3361780643463135	-465.9039611816406	-34.489101112
CPD-404	-2.5254228115081787	-514.5701904296875	-222.50871824
CPD-407	-3.830901861190796	-567.9929809570312	-258.10043724
CPD-420	-3.3623557090759277	-548.8191528320312	-521.7464736
CPD-424	-2.447845458984375	-511.3955993652344	64.262658496
CPD-425	-1.567598581314087	-475.3741455078125	-7.4186010288
CPD-433	-1.743107795715332	-482.55633544921875	121.393002816
CPD-434	0.9224593639373779	-373.4760437011719	227.554049032
CPD-4482	1.723283290863037	-340.7047424316406	147.23065048
CPD-4483	1.723283290863037	-340.7047424316406	147.23065048
CPD-45	-3.2796266078948975	-545.4337158203125	-632.36427896
CPD-466	1.2283897399902344	-360.956787109375	25.6901185688
CPD-468	-2.624678611755371	-518.6319580078125	-251.50381732
CPD-469	-2.4675700664520264	-512.2027587890625	-161.631501504
CPD-47	-1.8009727001190186	-484.9242858886719	-259.634864848
CPD-470	-0.14156439900398254	-417.01800537109375	106.23286876
CPD-471	1.2283897399902344	-360.956787109375	25.6901185688
CPD-473	-1.9821515083312988	-492.3384704589844	-356.294611904
CPD-4748	1.2496585845947266	-360.08642578125	25.6901185688
CPD-48	-3.4945170879364014	-554.2274780273438	-503.38996856
CPD-4841	-2.1595308780670166	-499.5971984863281	-461.47377792
CPD-4861	2.6348114013671875	-303.4032287597656	257.400064928
CPD-4862	-1.2389717102050781	-461.92608642578125	-36.990149872
CPD-4863	-2.401001453399658	-509.4786376953125	-254.55820008
CPD-4864	4.996354579925537	-206.7642059326172	331.28008256
CPD-497	-4.476190090179443	-594.3994750976562	-355.3326852
CPD-5061	-3.7277705669403076	-563.7726440429688	-639.48891968
CPD-5062	-2.3256661891937256	-506.3957824707031	-368.28672576
CPD-52	-3.058295488357544	-536.3764038085938	-403.70173352
CPD-521	-2.9130237102508545	-530.431640625	-566.2058668
CPD-522	-4.643148899078369	-601.2317504882812	-468.33323672
CPD-524	-1.8270530700683594	-485.9915466308594	-244.32141648
CPD-526	-3.766860008239746	-565.372314453125	-520.3683686
CPD-54	3.6426305770874023	-262.1612548828125	328.885855504
CPD-546	-0.44242262840270996	-429.3297119140625	-522.72285184
CPD-547	-2.9850659370422363	-533.3796997070312	-502.36986752
CPD-5542	1.2164835929870605	-361.4440002441406	483.8287644
CPD-5601	4.043125629425049	-245.772216796875	277.9814036
CPD-5602	2.5749011039733887	-305.8548583984375	388.615719024
CPD-562	-1.9639747142791748	-491.5946350097656	-667.03842584
CPD-5621	0.5568257570266724	-388.4385070800781	427.20158792
CPD-565	-3.214576244354248	-542.771728515625	-430.24243544
CPD-567	-2.1925361156463623	-500.94781494140625	212.120151672
CPD-568	-0.5390247702598572	-433.2828674316406	879.3828692
CPD-569	-0.1295633316040039	-416.52691650390625	494.275794
CPD-573	-0.9084240794181824	-448.3994140625	374.497271264
CPD-575	-0.27982744574546814	-422.6759948730469	210.49812784
CPD-578	0.688798189163208	-383.0379333496094	-406.09364264
CPD-579	-2.3707687854766846	-508.241455078125	-250.174276008
CPD-58	-0.7416984438896179	-441.5766906738281	309.66361392
CPD-580	-1.4714694023132324	-471.44036865234375	-141.641353664
CPD-581	3.9373321533203125	-250.10150146484375	83.252570928
CPD-5821	-4.435566425323486	-592.737060546875	-666.07803048
CPD-583	-3.373056411743164	-549.257080078125	-600.79160576
CPD-586	1.7606987953186035	-339.17364501953125	307.65922688
CPD-5861	-2.9101758003234863	-530.3150634765625	-230.900558672
CPD-587	-2.847728729248047	-527.7595825195312	-426.92059048
CPD-5881	-3.844635009765625	-568.5549926757812	147.472594464
CPD-592	-1.7161338329315186	-481.4525146484375	168.541235248
CPD-5921	-1.2358934879302979	-461.80010986328125	24.3844620392
CPD-593	4.278467178344727	-236.14157104492188	350.3970296
CPD-594	-1.6274693012237549	-477.8241882324219	75.814452376
CPD-595	-1.0203568935394287	-452.9799499511719	841.78716064
CPD-596	-2.384124994277954	-508.78802490234375	467.056715056
CPD-597	-0.6013501286506653	-435.8333435058594	415.277162816
CPD-599	-3.4480085372924805	-552.32421875	-301.679353664
CPD-60	3.1243948936462402	-283.3684997558594	78.134032688
CPD-600	-3.357875108718872	-548.6358032226562	-508.06481452
CPD-6001	-2.9054219722747803	-530.1205444335938	-330.154444304
CPD-603	0.18897490203380585	-403.49169921875	-57.808064456
CPD-6082	4.10165548324585	-243.37705993652344	202.701858888
CPD-61	-3.068769693374634	-536.8050537109375	-509.94290752
CPD-612	-2.0133237838745117	-493.6141052246094	-369.97630864
CPD-6121	-0.2901838421821594	-423.0998229980469	680.5357588
CPD-6122	0.760506272315979	-380.1034851074219	785.90051032
CPD-6123	0.7310157418251038	-381.310302734375	844.32998664
CPD-6124	4.698940277099609	-218.9349822998047	443.65843144
CPD-6141	1.3624513149261475	-355.470703125	62.258325848
CPD-6142	0.0398181676864624	-409.5954895019531	172.89254504
CPD-616	-1.133986473083496	-457.6298828125	-34.81518952
CPD-617	-2.911566972732544	-530.3720092773438	-396.07509648
CPD-618	-4.831537246704102	-608.9409790039062	-885.0862888
CPD-6181	-0.5916557312011719	-435.4366455078125	178.71776088
CPD-620	-3.050044298171997	-536.0387573242188	-502.36986752
CPD-621	-3.8321332931518555	-568.0433959960938	-700.407876
CPD-622	-4.816232681274414	-608.314697265625	-885.0862888
CPD-623	0.9222151041030884	-373.4860534667969	51.240280664
CPD-628	-5.600277900695801	-640.3993530273438	-1165.5586368
CPD-629	-2.7700302600860596	-524.5800170898438	-511.321175696
CPD-630	4.401978492736816	-231.08724975585938	485.72635484
CPD-633	-1.833505630493164	-486.2555847167969	-338.7636268
CPD-635	-3.377747058868408	-549.448974609375	-731.37893184
CPD-636	-3.4209136962890625	-551.2154541015625	-731.37893184
CPD-6361	0.4054875075817108	-394.6315612792969	293.37304256
CPD-6362	-0.576164186000824	-434.8027038574219	126.682490928
CPD-6364	-1.4012866020202637	-468.5683288574219	-91.46709344
CPD-6365	-2.136239767074585	-498.6440734863281	-206.373026008
CPD-6366	-2.943788766860962	-531.6905517578125	-224.312955272
CPD-6367	-2.9324023723602295	-531.224609375	-371.55735856
CPD-637	-1.0156424045562744	-452.7870178222656	-94.450549032
CPD-639	0.3287995457649231	-397.769775390625	479.59464008
CPD-640	-3.895380735397339	-570.631591796875	-843.51958768
CPD-6404	-2.251946210861206	-503.3789978027344	-109.407026888
CPD-6405	-0.617681622505188	-436.5016784667969	75.223474928
CPD-644	-1.7031383514404297	-480.92071533203125	99.965491984
CPD-6441	-0.34103456139564514	-425.18072509765625	139.197341192
CPD-6442	-1.080651044845581	-455.4472961425781	-25.98697044
CPD-648	-0.6811342239379883	-439.0982666015625	155.217375112
CPD-6483	0.31696733832359314	-398.2539978027344	485.851167744
CPD-6485	0.9150855541229248	-373.7778015136719	-109.541446256
CPD-6501	-0.3471401035785675	-425.4305725097656	238.40936172
