CPLX-5262	ACETOLACTATE-DECARBOXYLASE-RXN
CPLX-5243	ACETOLACTSYN-RXN
CPLX-7118	2-AMINOADIPATE-AMINOTRANSFERASE-RXN
CPLX0-7615	KDGALDOL-RXN
CPLX-7431	RXN-7643 // RXN-7692
CPLX-7277	RXN-14728 // R311-RXN // RXN-14727
CPLX-2064	R311-RXN
CPLX66-428	RXN-9600
HS01798-MONOMER	RXN6666-4
CPLX-8554	RXN-13670
CPLX0-8251	RXN0-7285
CPLX-8558	RXN-13680
HS14455-MONOMER	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
MONOMER-13371	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
MONOMER-15536	ETHYL-RXN
MONOMER-16737	RXN-12515
MONOMER-16735	RXN-12515
MONOMER-12129	RXN-8017
CPLX-7081	RXN-8016 // RXN-8015
CPLX-6892	ARGINASE-RXN
CPLX-6896	ARGINASE-RXN
ROCFBACSU-MONOMER	ARGINASE-RXN
MONOMER-14987	ARGINASE-RXN
MONOMER-14988	ARGINASE-RXN
AT4G08900-MONOMER	ARGINASE-RXN
MONOMER-11543	RXN-34
CPLX-6621	ARGINASE-RXN
CPLX-6622	ARGINASE-RXN
MONOMER-11564	ARGININE-2-MONOOXYGENASE-RXN
MONOMER-14985	ARGDECARBOX-RXN
HS06971-MONOMER	ARGDECARBOX-RXN
MONOMER-14981	ARGDECARBOX-RXN
MONOMER-14983	ARGDECARBOX-RXN
MONOMER-14984	ARGDECARBOX-RXN
SPEABACSU-MONOMER	ARGDECARBOX-RXN
CPLX-13	ARGDECARBOX-RXN
MONOMER-14982	ARGDECARBOX-RXN
CPLX-8472	ARGDECARBOX-RXN
ARGDECARBOXBIO-CPLX	ARGDECARBOX-RXN
ARGDECARBOXDEG-CPLX	ARGDECARBOX-RXN
ARGDEIMST-MONOMER	ARGININE-DEIMINASE-RXN
MONOMER-11344	ARGININE-DEIMINASE-RXN
CPLX-2041	ARGININE-DEIMINASE-RXN
MONOMER-507	ARGININE-DEIMINASE-RXN
CPLX-6562	ARGININE-DEIMINASE-RXN
MONOMER-11561	ARG-OXIDATION-RXN
CPLX-6900	ARGININE-RACEMASE-RXN
CPLX-6903	RXN-7564
CPLX3O-887	GLUTAMIN-RXN
MONOMER-49	RXN-22
YGL202W-MONOMER	PHEAMINOTRANS-RXN // TYROSINE-AMINOTRANSFERASE-RXN
YHR137W-MONOMER	2.6.1.58-RXN // RXN3O-4157
MONOMER-13640	PHENYLALANINE-DECARBOXYLASE-RXN
MONOMER-13641	PHENYLALANINE-DECARBOXYLASE-RXN
MONOMER-18428	PHEAMINOTRANS-RXN // RXN-15200
MONOMER-18427	PHEAMINOTRANS-RXN // RXN-15200
CPLX-7890	RXN66-221
CPLX-7903	PHENYLALANINE-DECARBOXYLASE-RXN
CPLX-8994	5.3.3.15-RXN
MONOMER-5141	RXN-3541
MONOMER-5101	RXN-3521 // RXN-12440
MONOMER-5102	RXN-3521 // RXN-12440
MONOMER-9561	ASPARAGHYD-RXN
MONOMER-9722	ASPAROXO-RXN
MONOMER-16713	GLUTAMIN-RXN
MONOMER-16714	GLUTAMIN-RXN
CPLX-7338	GLUTAMIN-RXN
ASNSYNB-CPLX	GLUTAMIN-RXN
CPLX0-2901	ASPDECARBOX-RXN
CPLX-7106	TYROSINE-DECARBOXYLASE-RXN // ASPDECARBOX-RXN
CPLX-7315	ASPAMINOTRANS-RXN
CPLX-7316	ASPAMINOTRANS-RXN
CPLX-7321	ASPAMINOTRANS-RXN
ASPAMINOTRANS-DIMER	PHEAMINOTRANS-RXN // ASPAMINOTRANS-RXN // TYROSINE-AMINOTRANSFERASE-RXN
CPLX-8566	ASPAMINOTRANS-RXN // RXN-13697
CPLX-7314	ASPAMINOTRANS-RXN
MONOMER-13012	ASPAMINOTRANS-RXN
CPLX66-371	ASPAMINOTRANS-RXN
CPLX66-370	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN // RXN-13697
ASPARTASE-CPLX	ASPARTASE-RXN
CPLX-8025	ASPARTATE-RACEMASE-RXN
MONOMER-17670	ASPAMINOTRANS-RXN
MONOMER-18269	ASPAMINOTRANS-RXN
MONOMER-17669	RXN-13697
CPLX-5342	ASPAMINOTRANS-RXN
MONOMER-20425	RXN-19327
CPLX-7999	BARBITURASE-RXN
AT5G04580-MONOMER	RXN-8088
MONOMER-11530	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN
CPLX-2162	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN
CPLX-3301	RXN-2901
MONOMER-9450	2.6.1.18-RXN
CPLX-3402	2.6.1.18-RXN
CPLX-8965	RXN0-5224
MONOMER-19143	RXN0-5224
AT5G22300-MONOMER	3-CYANOALANINE-HYDRATASE-RXN // 3.5.5.4-RXN // ASPARAGHYD-RXN
MONOMER-17622	3-CYANOALANINE-HYDRATASE-RXN // 3.5.5.4-RXN // ASPARAGHYD-RXN
MONOMER-17621	3-CYANOALANINE-HYDRATASE-RXN // 3.5.5.4-RXN // ASPARAGHYD-RXN
MONOMER-13239	DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN
CPLX-2761	3-OXOADIPATE-ENOL-LACTONASE-RXN
