Namespace(batch_size=100, dataset='qm9', datasetPath='/scratch/zuck016/mpnn-data/qm9/dsgdb9nsd/', epochs=50, logPath='./log/qm9/mpnn/', log_interval=20, lr=0.001, lr_decay=0.6, model='MPNNv2', momentum=0.9, no_cuda=False, plotLr=False, plotPath='./plot/qm9/mpnn/', prefetch=2, resume='./checkpoint/qm9/mpnn/', schedule=[0.1, 0.9])
Prepare files
Define model
	Statistics
	Create model
Optimizer
Logger
=> no best model found at './checkpoint/qm9/mpnn/model_best.pth'
Check cuda
	* Cuda
Epoch: [2][80/1139]	Time 1.776 (1.060)	Data 1.583 (0.860)	Loss 0.2461 (0.2507)	Error Ratio 7.3117 (2.5263)
Epoch: [2][100/1139]	Time 1.892 (1.059)	Data 1.674 (0.858)	Loss 0.2074 (0.2528)	Error Ratio 3.4799 (2.4479)
Epoch: [2][120/1139]	Time 1.882 (1.058)	Data 1.683 (0.856)	Loss 0.3785 (0.2659)	Error Ratio 4.5355 (2.4428)
Epoch: [2][140/1139]	Time 1.923 (1.056)	Data 1.765 (0.857)	Loss 0.3169 (0.2703)	Error Ratio 1.4435 (2.3929)
Epoch: [2][160/1139]	Time 1.815 (1.054)	Data 1.637 (0.856)	Loss 0.1922 (0.2683)	Error Ratio 1.5920 (2.3693)
Epoch: [2][180/1139]	Time 1.943 (1.052)	Data 1.754 (0.856)	Loss 0.2175 (0.2670)	Error Ratio 1.2787 (2.3363)
Epoch: [2][200/1139]	Time 1.857 (1.052)	Data 1.645 (0.856)	Loss 0.2756 (0.2673)	Error Ratio 1.6076 (2.3106)
Epoch: [2][220/1139]	Time 1.871 (1.051)	Data 1.693 (0.857)	Loss 0.1837 (0.2656)	Error Ratio 1.5380 (2.3060)
Epoch: [2][240/1139]	Time 1.841 (1.051)	Data 1.662 (0.858)	Loss 0.1823 (0.2626)	Error Ratio 1.7396 (2.2823)
Epoch: [2][260/1139]	Time 1.842 (1.050)	Data 1.665 (0.857)	Loss 0.2781 (0.2612)	Error Ratio 1.8543 (2.2717)
Epoch: [2][280/1139]	Time 1.856 (1.049)	Data 1.658 (0.856)	Loss 0.3135 (0.2622)	Error Ratio 1.8370 (2.2811)
Epoch: [2][300/1139]	Time 1.994 (1.049)	Data 1.789 (0.857)	Loss 0.3680 (0.2598)	Error Ratio 5.0805 (2.2487)
Epoch: [2][320/1139]	Time 1.806 (1.047)	Data 1.648 (0.856)	Loss 0.3811 (0.2590)	Error Ratio 2.8040 (2.2411)
Epoch: [2][340/1139]	Time 1.912 (1.047)	Data 1.745 (0.856)	Loss 0.2443 (0.2606)	Error Ratio 1.2466 (2.2373)
Epoch: [2][360/1139]	Time 1.889 (1.048)	Data 1.669 (0.856)	Loss 0.1889 (0.2581)	Error Ratio 1.3346 (2.2202)
Epoch: [2][380/1139]	Time 1.765 (1.049)	Data 1.553 (0.857)	Loss 0.2553 (0.2632)	Error Ratio 7.9591 (2.5983)
Epoch: [2][400/1139]	Time 1.039 (1.048)	Data 0.831 (0.856)	Loss 0.1620 (0.2622)	Error Ratio 6.1264 (2.5786)
Epoch: [2][420/1139]	Time 0.806 (1.048)	Data 0.619 (0.856)	Loss 0.2052 (0.2617)	Error Ratio 1.5291 (2.5540)
Epoch: [2][440/1139]	Time 0.743 (1.047)	Data 0.535 (0.855)	Loss 0.1947 (0.2608)	Error Ratio 2.9749 (2.5422)
Epoch: [2][460/1139]	Time 0.953 (1.047)	Data 0.744 (0.855)	Loss 0.1815 (0.2611)	Error Ratio 1.0529 (2.5165)
Epoch: [2][480/1139]	Time 1.482 (1.048)	Data 1.295 (0.855)	Loss 0.3279 (0.2607)	Error Ratio 1.1483 (2.4838)
Epoch: [2][500/1139]	Time 0.962 (1.047)	Data 0.796 (0.855)	Loss 0.2681 (0.2602)	Error Ratio 4.1707 (2.4587)
Epoch: [2][520/1139]	Time 0.890 (1.047)	Data 0.674 (0.854)	Loss 0.3615 (0.2593)	Error Ratio 1.9871 (2.6339)
Epoch: [2][540/1139]	Time 0.877 (1.047)	Data 0.648 (0.854)	Loss 0.1899 (0.2587)	Error Ratio 1.8126 (2.6067)
Epoch: [2][560/1139]	Time 0.714 (1.047)	Data 0.525 (0.854)	Loss 0.6270 (0.2591)	Error Ratio 2.3909 (2.5925)
Epoch: [2][580/1139]	Time 0.819 (1.047)	Data 0.653 (0.853)	Loss 0.3259 (0.2617)	Error Ratio 1.4127 (2.5734)
Epoch: [2][600/1139]	Time 0.878 (1.046)	Data 0.702 (0.853)	Loss 0.3164 (0.2614)	Error Ratio 2.1183 (2.5578)
Epoch: [2][620/1139]	Time 1.453 (1.047)	Data 1.266 (0.853)	Loss 0.2100 (0.2612)	Error Ratio 1.6730 (2.5505)
Epoch: [2][640/1139]	Time 1.454 (1.046)	Data 1.271 (0.852)	Loss 0.1979 (0.2599)	Error Ratio 1.4438 (2.5214)
Epoch: [2][660/1139]	Time 1.750 (1.046)	Data 1.566 (0.852)	Loss 0.2730 (0.2598)	Error Ratio 1.6004 (2.5047)
Epoch: [2][680/1139]	Time 1.313 (1.046)	Data 1.116 (0.851)	Loss 0.3085 (0.2588)	Error Ratio 2.9209 (2.5022)
Epoch: [2][700/1139]	Time 1.049 (1.046)	Data 0.862 (0.851)	Loss 0.2881 (0.2582)	Error Ratio 2.9919 (2.4850)
